cjis,statutory_code,code_type,literal_display,t,lei,hier,sc,offense_descr,parens,PC1192_7_C,PC1192_8,PC667_5,code_section
35055,11502,HS,OVER 21 FURN NARCO TO MNR,F,0,9700,12,11502 HS-OVER 21 FURNISH NARCOTIC TO MINOR,NA,TRUE,NA,NA,F_HS_11502
13118,241.4,PC,ASLT SCHOOL DISTRICT PO,F,344,41000,6,241.4 PC-ASSAULT SCHOOL DISTRICT PEACE OFFICER,NA,TRUE,NA,NA,F_PC_241.4
11104,264(C)(1),PC,RAPE:UPON CHILD-14 YRS,F,635,2494,4,264(C)(1) PC-RAPE:UPON CHILD UNDER 14 YEARS,NA,TRUE,NA,NA,F_PC_264(C)(1)
11105,264(C)(2),PC,RAPE:MINOR 14+ YEARS,F,635,2497,4,264(C)(2) PC-RAPE:MINOR 14 YEARS OR OLDER,NA,TRUE,NA,NA,F_PC_264(C)(2)
36041,286(B)(1),PC,SODOMY:PERSON UNDER 18,F,733,37805,4,286(B)(1) PC-SODOMY W/PERSON UNDER 18 YEARS,NA,TRUE,NA,NA,F_PC_286(B)(1)
36042,286(B)(2),PC,SODOMY:PERSON UNDER 16,F,733,37805,4,286(B)(2) PC-SODOMY W/PERSON UNDER 16 YEARS,NA,TRUE,NA,NA,F_PC_286(B)(2)
36045,286(E),PC,SDMY:WHILE IN PRISON/JAIL,F,734,37810,4,286(E) PC-SODOMY WHILE CONFINED IN PRISON/JAIL,NA,TRUE,NA,NA,F_PC_286(E)
36061,286(F),PC,SODOMY:VICT UNCONS OF ACT,F,734,5800,4,286(F) PC-SODOMY:VICTIM UNCONSC NATURE OF ACT,NA,TRUE,NA,NA,F_PC_286(F)
36062,286(G),PC,SDMY:VICT INCAPBL:CONSENT,F,734,5800,4,286(G) PC-SODOMY:VICTIM INCAPABLE OF CONSENT,NA,TRUE,NA,NA,F_PC_286(G)
36087,286(I),PC,SODOMY:NO OK:VICT DRUGGED,F,734,5800,4,286(I) PC-SDMY:NO OK:DRUG VICT & DEF:MNTL FAC,NA,TRUE,NA,NA,F_PC_286(I)
36099,286(K),PC,SOD:AUTH THRET AREST/DPRT,F,734,5800,4,286(K) PC-SODOMY:AUTHRITY THREAT:ARREST/DEPORT,NA,TRUE,NA,NA,F_PC_286(K)
36103,286(H),PC,SDMY:VIC/DEF IN MNTL INST,F,734,37810,4,286(H) PC-SDMY:W/O CNSENT:VICT/DEF:MENTL INST,NA,TRUE,NA,NA,F_PC_286(H)
36120,286(J),PC,SOD:VIC THINKS ITS SPOUSE,F,734,5800,4,286(J) PC-SODOMY:VICTIM THINKS PRSN IS SPOUSE,NA,TRUE,NA,NA,F_PC_286(J)
36251,286(F)(1),PC,SODOMY:VIC UNCONSC/ASLEEP,F,734,5800,4,286(F)(1) PC-SODOMY:VICT UNCONSCIOUS/ASLEEP,NA,TRUE,NA,NA,F_PC_286(F)(1)
36252,286(F)(2),PC,SODOMY:VICTIM NOT AWARE,F,734,5800,4,286(F)(2) PC-SODOMY:VICTIM NOT AWARE/COGN,NA,TRUE,NA,NA,F_PC_286(F)(2)
36253,286(F)(3),PC,SDMY:VIC UNAWARE:PERP FRD,F,734,5800,4,NA,NA,TRUE,NA,NA,F_PC_286(F)(3)
36254,286(F)(4),PC,SDMY:VIC UNAWRE:PRO PURP,F,734,5800,4,NA,NA,TRUE,NA,NA,F_PC_286(F)(4)
36290,286(J),PC,SODOMY:VICT KNOWS PERSON,F,734,5800,4,NA,NA,TRUE,NA,NA,F_PC_286(J)
9181,18930,US,ATEMPT/MURDER:FED FACILTY,F,92,179000,26,18 930 US-ATTEMPT/MURDER:FEDERAL FACILITY,NA,TRUE,NA,TRUE,F_US_18930
9183,181111,US,MURDER 1ST DEGREE,F,92,179000,26,18 1111 US-MURDER FIRST DEGREE,NA,NA,NA,TRUE,F_US_181111
10018,181201,US,KIDNAPPING,F,92,179000,26,18 1201 US-KIDNAP:RANSOM/ETC:SPEC CIRC,NA,TRUE,NA,TRUE,F_US_181201
12038,182113(A),US,BANK/ETC ROBBERY,F,92,179000,26,18 2113(A) US-BANK/ETC ROBBERY,NA,TRUE,NA,TRUE,F_US_182113(A)
1004,37,PC,TREASON,F,905,1000,25,37 PC-TREASON,NA,NA,NA,TRUE,F_PC_37
1009,37(A),PC,TREASON,F,905,1000,25,37(A) PC-TREASON,NA,NA,NA,TRUE,F_PC_37(A)
21005,518,PC,EXTORTION,F,960,20100,25,518 PC-EXTORTION,NA,NA,NA,TRUE,F_PC_518
29123,422.7(B),PC,VIOL CIV RGTS:PROP DAMAGE,F,63,77650,25,422.7(B) PC-VIOLATE CIVIL RIGHTS:PROP DAMAGE,NA,TRUE,NA,NA,F_PC_422.7(B)
46023,653F(B),PC,SOLICIT TO COMMIT MURDER,F,995,4900,25,653F(B) PC-SOLICIT TO COMMIT MURDER,NA,TRUE,NA,TRUE,F_PC_653F(B)
48056,136.1,PC,PREVENT/DISSUADE WIT/VICT,F,981,19700,25,136.1 PC-PREVENT/DISSUADE WITNESS/VICTIM,NA,TRUE,NA,TRUE,F_PC_136.1
48058,136.1(C)(1),PC,INTIMIDATE WIT/VICT,F,981,19700,25,136.1(C)(1)PC-PREVNT/DISUADE WITNS THREAT/FORC,NA,TRUE,NA,NA,F_PC_136.1(C)(1)
48061,136.1(C),PC,PREVNT/DISS WIT/VIC FORCE,F,0,19700,25,136.1(C) PC-PRVNT/DISSUADE WIT/VIC FORCE/ETC,NA,TRUE,NA,TRUE,F_PC_136.1(C)
48067,136.1(C)(2),PC,INTIMIDATE WIT/VICT,F,981,19700,25,136.1(C)(2) PC-PRVNT/DISUADE WITNS/VICTM:CONSP,NA,TRUE,NA,TRUE,F_PC_136.1(C)(2)
48068,136.1(C)(3),PC,INTIM WIT/VICT:PR CONV,F,981,19700,25,136.1(C)(3) PC-PRVNT/DISUADE WIT/VICT:PR CONV,NA,TRUE,NA,TRUE,F_PC_136.1(C)(3)
48069,136.1(C)(4),PC,INTIMIDATE WIT/VICT,F,981,19700,25,136.1(C)(4) PC-PRVNT/DISUADE WIT/ETC FOR GAIN,NA,TRUE,NA,TRUE,F_PC_136.1(C)(4)
48081,2800.3,VC,EVADE PO:CAUSE SBI/DEATH,F,865,22600,25,2800.3 VC-EVADE PEACE OFFICER:CAUSE SBI/DEATH,NA,TRUE,TRUE,NA,F_VC_2800.3
48116,136.1(A)(1),PC,PRVENT/DISUADE VIC/WITNES,F,981,46300,25,136.1(A)(1) PC-PREVENT/DISSUADE VICTIM/WITNESS,NA,TRUE,NA,TRUE,F_PC_136.1(A)(1)
48117,136.1(A)(2),PC,ATT PRVNT/DISUADE VIC/WIT,F,981,46300,25,136.1(A)(2) PC-ATT PREVENT/DISSUADE VICT/WIT,NA,TRUE,NA,TRUE,F_PC_136.1(A)(2)
48118,136.1(B)(1),PC,ATT PRVNT/ETC VIC/ETC:RPT,F,981,46300,25,136.1(B)(1) PC-ATT PRVNT/ETC VICTIM/ETC:REPORT,NA,TRUE,NA,TRUE,F_PC_136.1(B)(1)
48119,136.1(B)(2),PC,ATT STOP VIC/ETC:PROSCUTE,F,981,46300,25,136.1(B)(2) PC-ATTEMP PREVNT VIC/ETC PROSECUTE,NA,TRUE,NA,TRUE,F_PC_136.1(B)(2)
48120,136.1(B)(3),PC,ATT STOP VIC/ETC:SEK ARST,F,981,46300,25,136.1(B)(3) PC-ATT STOP VICTIM/ETC SEEK ARREST,NA,TRUE,NA,TRUE,F_PC_136.1(B)(3)
52400,12700(B)(3),HS,"POS DNG F/WRKS-100+5,000P",F,995,74100,25,"12700(B)(3) HS-POS DANG F/WRKS-100/+5,000PDS",NA,TRUE,NA,NA,F_HS_12700(B)(3)
54065,23104(B),VC,RECK DRIV:GBI:SP/PR/CNVCT,F,865,63400,25,23104(B) VC-RECK DRIV CAUSE GBI W/SPEC PR CONV,NA,TRUE,TRUE,NA,F_VC_23104(B)
66062,186.22(A),PC,PARTICIPATE:CRIM ST GANG,F,985,77820,25,186.22(A) PC-PARTICIPATE IN CRIM STREET GANG,NA,TRUE,NA,TRUE,F_PC_186.22(A)
66074,186.22,PC,CRIM ST GANG:SPEC CIRC,F,985,77820,25,186.22 PC-PRTCPATE IN CRIM ST GANG:SPEC CIRC,NA,TRUE,NA,TRUE,F_PC_186.22
66131,186.22(D),PC,CRIM ST GANG:PUB OFF CONV,F,985,78090,25,186.22(D) PC-CRIM STREET GANG:W/PUB OFF CONV,NA,TRUE,NA,NA,F_PC_186.22(D)
66149,186.22(B)(1),PC,PROMOTE/ETC CRIM ST GANG,F,985,21400,25,186.22(B)(1) PC-PROMOTE/ETC FEL CRIM ST GANG,NA,TRUE,NA,NA,F_PC_186.22(B)(1)
